시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
이천시,2025-09,1987,15500,10461
이천시,2025-08,1830,8084,8139
이천시,2025-07,5499,9073,8133
이천시,2025-06,1374,8081,8365
이천시,2025-05,1349,8933,9409
이천시,2025-04,1666,8253,9167
이천시,2025-03,1565,7409,9137
이천시,2025-02,1876,6345,9333
이천시,2025-01,2073,17197,10350
이천시,2024-12,1469,7573,9101
이천시,2024-11,1352,7923,8935
이천시,2024-10,1847,7068,9866
이천시,2024-09,1672,13501,9295
이천시,2024-08,1308,7400,8208
이천시,2024-07,1580,7637,9107
이천시,2024-06,1044,7948,5906
이천시,2024-05,1207,7759,8087
이천시,2024-04,1405,7499,8156
이천시,2024-03,1830,7036,9003
이천시,2024-02,1886,12574,9619
이천시,2024-01,2301,6823,8556
파주시,2026-07,4464,38837,39996
파주시,2026-06,5017,34829,36610
파주시,2026-05,7094,41883,38421
파주시,2026-04,4825,36350,37012
파주시,2026-03,4280,36319,38284
파주시,2026-02,3394,39896,34049
파주시,2026-01,3777,34606,34652
파주시,2025-12,3785,32838,32656
파주시,2025-11,4073,32541,33046
파주시,2025-10,6437,32706,29607
파주시,2025-09,8479,27373,28197
파주시,2025-08,9314,25411,25267
파주시,2025-07,13716,25457,26688
파주시,2025-06,4613,27652,28922
파주시,2025-05,4439,33456,31096
파주시,2025-04,6418,28745,29258
파주시,2025-03,10981,27895,29100
파주시,2025-02,58879,20238,20415
파주시,2025-01,37392,27228,22138
파주시,2024-12,3691,21599,24386
파주시,2024-11,3782,20812,20873
파주시,2024-10,4476,20157,22085
파주시,2024-09,3796,24624,21937
파주시,2024-08,3695,20215,21634
파주시,2024-07,4265,19786,22387
파주시,2024-06,3026,18785,20495
파주시,2024-05,3816,24200,22583
파주시,2024-04,4188,19426,19740
파주시,2024-03,4560,20189,21196
파주시,2024-02,4802,29503,19276
파주시,2024-01,4031,16560,13829
평택시,2026-07,2830,16406,16806
평택시,2026-06,3208,15856,16231
평택시,2026-05,3771,15995,17031
평택시,2026-04,3453,15982,18598
평택시,2026-03,3403,17519,21058
평택시,2026-02,2769,22830,19191
평택시,2026-01,3670,19747,21138
평택시,2025-12,3802,18498,18373
평택시,2025-11,3688,19095,21785
평택시,2025-10,4990,31950,19199
평택시,2025-09,6057,12831,12941
평택시,2025-08,10090,12606,13560
평택시,2025-07,10622,17712,12425
평택시,2025-06,2954,13750,13489
평택시,2025-05,2299,12169,13618
평택시,2025-04,3570,13338,14301
평택시,2025-03,3697,13278,14815
평택시,2025-02,4300,13497,13917
평택시,2025-01,5222,19858,14187
평택시,2024-12,3111,8696,11459
평택시,2024-11,2976,12312,12906
평택시,2024-10,4225,12572,14004
평택시,2024-09,4137,16822,14222
평택시,2024-08,3217,13494,13303
평택시,2024-07,3501,12757,13058
평택시,2024-06,2349,13763,12823
평택시,2024-05,2214,11748,13026
평택시,2024-04,2523,11407,13106
평택시,2024-03,2945,10877,14355
평택시,2024-02,3578,21159,14457
평택시,2024-01,3332,11990,12139
포천시,2026-07,1351,6137,6301
포천시,2026-06,1329,5885,6367
포천시,2026-05,2004,6663,6169
포천시,2026-04,1234,5662,5160
포천시,2026-03,1448,4038,5317
포천시,2026-02,1539,8362,5692
포천시,2026-01,1362,4160,3517
포천시,2025-12,637,885,1775
포천시,2025-11,883,2625,4322
포천시,2025-10,2060,6598,5556
포천시,2025-09,2237,6035,4576
포천시,2025-08,1302,3729,3497
포천시,2025-07,3174,3543,2995
포천시,2025-06,1109,3117,3188
포천시,2025-05,919,3061,2970
포천시,2025-04,752,2828,2433
포천시,2025-03,723,2369,2322
포천시,2025-02,577,1998,1995
포천시,2025-01,48,2271,2073
포천시,2024-12,467,4433,4361
포천시,2024-11,236,387,404
포천시,2024-10,749,2591,2685
포천시,2024-09,590,2927,2212
포천시,2024-08,715,2041,1971
포천시,2024-07,905,2016,1505
포천시,2024-06,564,2249,1712
포천시,2024-05,313,2064,1854
포천시,2024-04,357,2173,2074
포천시,2024-03,429,1868,2302
포천시,2024-02,619,2540,2201
포천시,2024-01,316,2426,1957
하남시,2026-07,2104,12724,11985
하남시,2026-06,2027,12709,10829
하남시,2026-05,2422,12786,10389
하남시,2026-04,2698,8819,9481
하남시,2026-03,2808,9099,10329
하남시,2026-02,2316,10816,9368
하남시,2026-01,2414,8846,9945
하남시,2025-12,2438,10428,11193
하남시,2025-11,4429,8893,11224
하남시,2025-10,2888,12851,10339
하남시,2025-09,3681,12702,10105
하남시,2025-08,4250,8861,7964
하남시,2025-07,4872,12269,8329
하남시,2025-06,1598,5542,6239
하남시,2025-05,1718,7107,7507
하남시,2025-04,2322,7140,7521
하남시,2025-03,2452,7193,8070
하남시,2025-02,2564,7130,7578
하남시,2025-01,2858,10179,8228
하남시,2024-12,1796,5476,7651
하남시,2024-11,2158,5669,7741
하남시,2024-10,2723,5694,10168
하남시,2024-09,3222,12210,12651
하남시,2024-08,2651,13692,13522
하남시,2024-07,2340,15384,13128
하남시,2024-06,1864,18128,11829
하남시,2024-05,1770,7160,8103
하남시,2024-04,2311,7048,8114
하남시,2024-03,2148,6949,9038
하남시,2024-02,2800,10534,9331
하남시,2024-01,1934,6120,10213
화성시,2026-07,6163,90083,64552
화성시,2026-06,5260,36047,43131
화성시,2026-05,6860,57938,56458
화성시,2026-04,8390,58826,61612
화성시,2026-03,9549,58096,77333
화성시,2026-02,7805,80207,77039
화성시,2026-01,8418,72769,74469
화성시,2025-12,8083,77470,74113
화성시,2025-11,7150,71988,72105
화성시,2025-10,8543,69171,63159
화성시,2025-09,9984,79603,65574
화성시,2025-08,15229,47180,48115
화성시,2025-07,19011,50172,51028
화성시,2025-06,8043,52610,53655
화성시,2025-05,6696,51109,55844
화성시,2025-04,11225,49132,53771
화성시,2025-03,11692,55842,58351
화성시,2025-02,20855,55754,44166
화성시,2025-01,14411,97456,62969
화성시,2024-12,6058,24699,31556
화성시,2024-11,6424,25978,30428
화성시,2024-10,8548,34067,34067
화성시,2024-09,8006,38918,32742
화성시,2024-08,6864,32750,32603
화성시,2024-07,6795,33421,33325
화성시,2024-06,5567,33904,32445
화성시,2024-05,6372,33096,31715
화성시,2024-04,7931,28824,30175
화성시,2024-03,8937,29676,33436
화성시,2024-02,8745,37689,31811
화성시,2024-01,17380,39505,30436

