기준년월,행정동코드,중분류업종코드,매출금액,활성화비율
202401,4139059700,L0,0E-20,0E-20
202401,4139059700,M0,0E-20,0E-20
202401,4139059700,M1,0E-20,0E-20
202401,4139059700,N0,0E-20,0E-20
202401,4139059700,N1,0E-20,0E-20
202401,4139059700,TO,0E-20,0E-20
202401,4139062100,B0,0E-20,0E-20
202401,4139062100,B2,0E-20,0E-20
202401,4139062100,B3,0E-20,0E-20
202401,4139062100,C0,0E-20,0E-20
202401,4139062100,C1,0E-20,0E-20
202401,4139062100,C2,0E-20,0E-20
202401,4139062100,C3,0E-20,0E-20
202401,4139062100,D0,0E-20,0E-20
202401,4139062100,D2,0E-20,0E-20
202401,4139062100,E1,0E-20,0E-20
202401,4139062100,E3,0E-20,0E-20
202401,4139062100,F0,0E-20,0E-20
202401,4139062100,F2,0E-20,0E-20
202401,4139062100,G0,0E-20,0E-20
202401,4139062100,G1,0E-20,0E-20
202401,4139062100,H0,0E-20,0E-20
202401,4139062100,I1,0E-20,0E-20
202401,4139062100,J0,0E-20,0E-20
202401,4139062100,K0,0E-20,0E-20
202401,4139062100,L0,0E-20,0E-20
202401,4139062100,N0,0E-20,0E-20
202401,4139062100,TO,0E-20,0E-20
202401,4139063000,A0,0E-20,0E-20
202401,4139063000,B0,0E-20,0E-20
202401,4139063000,B1,0E-20,0E-20
202401,4139063000,B2,0E-20,0E-20
202401,4139063000,B3,0E-20,0E-20
202401,4139063000,C0,0E-20,0E-20
202401,4139063000,C1,0E-20,0E-20
202401,4139063000,C2,0E-20,0E-20
202401,4139063000,C3,0E-20,0E-20
202401,4139063000,D0,0E-20,0E-20
202401,4139063000,D1,0E-20,0E-20
202401,4139063000,D2,0E-20,0E-20
202401,4139063000,E1,0E-20,0E-20
202401,4139063000,E3,0E-20,0E-20
202401,4139063000,E4,0E-20,0E-20
202401,4139063000,F0,0E-20,0E-20
202401,4139063000,F2,0E-20,0E-20
202401,4139063000,G0,0E-20,0E-20
