기준년월,행정동코드,중분류업종코드,매출금액,활성화비율
202501,4113552000,F0,0E-20,0E-20
202501,4113552000,F2,0E-20,0E-20
202501,4113552000,G0,0E-20,0E-20
202501,4113552000,G1,0E-20,0E-20
202501,4113552000,H0,0E-20,0E-20
202501,4113552000,H1,0E-20,0E-20
202501,4113552000,I1,0E-20,0E-20
202501,4113552000,J0,0E-20,0E-20
202501,4113552000,K0,0E-20,0E-20
202501,4113552000,K1,0E-20,0E-20
202501,4113552000,L0,0E-20,0E-20
202501,4113552000,M0,0E-20,0E-20
202501,4113552000,M1,0E-20,0E-20
202501,4113552000,N0,0E-20,0E-20
202501,4113552000,N1,0E-20,0E-20
202501,4113552000,TO,0E-20,0E-20
202501,4113553000,A0,0E-20,0E-20
202501,4113553000,B0,0E-20,0E-20
202501,4113553000,B1,0E-20,0E-20
202501,4113553000,B2,0E-20,0E-20
202501,4113553000,B3,0E-20,0E-20
202501,4113553000,C0,0E-20,0E-20
202501,4113553000,C1,0E-20,0E-20
202501,4113553000,C2,0E-20,0E-20
202501,4113553000,C3,0E-20,0E-20
202501,4113553000,D2,0E-20,0E-20
202501,4113553000,E1,0E-20,0E-20
202501,4113553000,E3,0E-20,0E-20
202501,4113553000,F0,0E-20,0E-20
202501,4113553000,F2,0E-20,0E-20
202501,4113553000,G0,0E-20,0E-20
202501,4113553000,G1,0E-20,0E-20
202501,4113553000,H0,0E-20,0E-20
202501,4113553000,H1,0E-20,0E-20
202501,4113553000,I1,0E-20,0E-20
202501,4113553000,J0,0E-20,0E-20
202501,4113553000,K0,0E-20,0E-20
202501,4113553000,K1,0E-20,0E-20
202501,4113553000,L0,0E-20,0E-20
202501,4113553000,M0,0E-20,0E-20
202501,4113553000,M1,0E-20,0E-20
202501,4113553000,N0,0E-20,0E-20
202501,4113553000,N1,0E-20,0E-20
202501,4113553000,TO,0E-20,0E-20
202501,4113554000,B0,0E-20,0E-20
202501,4113554000,B1,0E-20,0E-20
202501,4113554000,B2,0E-20,0E-20
202501,4113554000,B3,0E-20,0E-20
202501,4113554000,C0,0E-20,0E-20
202501,4113554000,C1,0E-20,0E-20
202501,4113554000,C2,0E-20,0E-20
202501,4113554000,C3,0E-20,0E-20
202501,4113554000,D0,0E-20,0E-20
202501,4113554000,D2,0E-20,0E-20
202501,4113554000,E1,0E-20,0E-20
202501,4113554000,E3,0E-20,0E-20
202501,4113554000,F0,0E-20,0E-20
202501,4113554000,F2,0E-20,0E-20
202501,4113554000,G0,0E-20,0E-20
202501,4113554000,G1,0E-20,0E-20
202501,4113554000,H0,0E-20,0E-20
202501,4113554000,H1,0E-20,0E-20
202501,4113554000,I1,0E-20,0E-20
202501,4113554000,J0,0E-20,0E-20
202501,4113554000,K0,0E-20,0E-20
202501,4113554000,K1,0E-20,0E-20
202501,4113554000,L0,0E-20,0E-20
202501,4113554000,M1,0E-20,0E-20
202501,4113554000,N0,0E-20,0E-20
202501,4113554000,N1,0E-20,0E-20
202501,4113554000,TO,0E-20,0E-20
202501,4113554500,A0,0E-20,0E-20
202501,4113554500,A2,0E-20,0E-20
202501,4113554500,B0,0E-20,0E-20
202501,4113554500,B1,0E-20,0E-20
202501,4113554500,B2,0E-20,0E-20
202501,4113554500,B3,0E-20,0E-20
202501,4113554500,C0,0E-20,0E-20
202501,4113554500,C1,0E-20,0E-20
202501,4113554500,C2,0E-20,0E-20
202501,4113554500,C3,0E-20,0E-20
202501,4113554500,D1,0E-20,0E-20
202501,4113554500,D2,0E-20,0E-20
202501,4113554500,E1,0E-20,0E-20
202501,4113554500,E3,0E-20,0E-20
202501,4113554500,E4,0E-20,0E-20
202501,4113554500,F0,0E-20,0E-20
202501,4113554500,F2,0E-20,0E-20
202501,4113554500,G0,0E-20,0E-20
202501,4113554500,G1,0E-20,0E-20
202501,4113554500,H0,0E-20,0E-20
202501,4113554500,H1,0E-20,0E-20
202501,4113554500,I1,0E-20,0E-20
202501,4113554500,J0,0E-20,0E-20
202501,4113554500,K0,0E-20,0E-20
202501,4113554500,K1,0E-20,0E-20
202501,4113554500,L0,0E-20,0E-20
202501,4113554500,M0,0E-20,0E-20
202501,4113554500,M1,0E-20,0E-20
202501,4113554500,N0,0E-20,0E-20
202501,4113554500,N1,0E-20,0E-20
202501,4113554500,TO,0E-20,0E-20
202501,4113555000,A0,0E-20,0E-20
202501,4113555000,B0,0E-20,0E-20
202501,4113555000,B1,0E-20,0E-20
202501,4113555000,B2,0E-20,0E-20
202501,4113555000,B3,0E-20,0E-20
202501,4113555000,C0,0E-20,0E-20
202501,4113555000,C1,0E-20,0E-20
202501,4113555000,C2,0E-20,0E-20
202501,4113555000,C3,0E-20,0E-20
202501,4113555000,D0,0E-20,0E-20
202501,4113555000,D1,0E-20,0E-20
202501,4113555000,D2,0E-20,0E-20
202501,4113555000,E0,0E-20,0E-20
202501,4113555000,E1,0E-20,0E-20
202501,4113555000,E3,0E-20,0E-20
202501,4113555000,E4,0E-20,0E-20
202501,4113555000,F0,0E-20,0E-20
202501,4113555000,F2,0E-20,0E-20
202501,4113555000,G0,0E-20,0E-20
202501,4113555000,G1,0E-20,0E-20
202501,4113555000,H0,0E-20,0E-20
202501,4113555000,H1,0E-20,0E-20
202501,4113555000,I1,0E-20,0E-20
202501,4113555000,J0,0E-20,0E-20
202501,4113555000,K0,0E-20,0E-20
202501,4113555000,K1,0E-20,0E-20
202501,4113555000,L0,0E-20,0E-20
202501,4113555000,M0,0E-20,0E-20
202501,4113555000,M1,0E-20,0E-20
202501,4113555000,N0,0E-20,0E-20
202501,4113555000,N1,0E-20,0E-20
202501,4113555000,TO,0E-20,0E-20
202501,4113556000,A2,0E-20,0E-20
202501,4113556000,B1,0E-20,0E-20
202501,4113556000,B2,0E-20,0E-20
202501,4113556000,B3,0E-20,0E-20
202501,4113556000,C2,0E-20,0E-20
202501,4113556000,C3,0E-20,0E-20
202501,4113556000,D2,0E-20,0E-20
202501,4113556000,E1,0E-20,0E-20
202501,4113556000,E3,0E-20,0E-20
202501,4113556000,F0,0E-20,0E-20
202501,4113556000,G0,0E-20,0E-20
202501,4113556000,H0,0E-20,0E-20
202501,4113556000,H1,0E-20,0E-20
202501,4113556000,I1,0E-20,0E-20
202501,4113556000,J0,0E-20,0E-20
202501,4113556000,K0,0E-20,0E-20
202501,4113556000,K1,0E-20,0E-20
202501,4113556000,L0,0E-20,0E-20
202501,4113556000,M1,0E-20,0E-20
202501,4113556000,N0,0E-20,0E-20
202501,4113556000,TO,0E-20,0E-20
202501,4113557000,A0,0E-20,0E-20
202501,4113557000,A2,0E-20,0E-20
202501,4113557000,B1,0E-20,0E-20
202501,4113557000,B2,0E-20,0E-20
202501,4113557000,B3,0E-20,0E-20
202501,4113557000,C0,0E-20,0E-20
202501,4113557000,C2,0E-20,0E-20
202501,4113557000,C3,0E-20,0E-20
202501,4113557000,D0,0E-20,0E-20
202501,4113557000,D1,0E-20,0E-20
202501,4113557000,D2,0E-20,0E-20
