기준년월,행정동코드,월유동인구수
202307,4111352000,102697.42
202308,4111352000,107743.15
202309,4111352000,102596.9
202310,4111352000,99549.79
202311,4111352000,97515.2
202312,4111352000,102136.01
202401,4111352000,109384.55
202402,4111352000,105707.97
202403,4111352000,106803.38
202404,4111352000,106115.64
202405,4111352000,105216.19
202406,4111352000,100468.5
202407,4111352000,99991.26
202408,4111352000,102187.86
202409,4111352000,123856.76
202410,4111352000,100823.35
202411,4111352000,97133.11
202412,4111352000,97985.12
202501,4111352000,120477.76
202502,4111352000,105889.06
202503,4111352000,107136.54
202504,4111352000,100265.86
202505,4111352000,105382.23
202506,4111352000,96119.74
202307,4111353000,551305.3
202308,4111353000,541477.5
202309,4111353000,516027.12
202310,4111353000,557446.06
202311,4111353000,520636.2
202312,4111353000,527175.7
202401,4111353000,541264.7
202402,4111353000,494426.97
202403,4111353000,535308.4
202404,4111353000,546358.06
202405,4111353000,540090.9
202406,4111353000,525138.25
202407,4111353000,527411.94
202408,4111353000,524504.94
202409,4111353000,613829.8
202410,4111353000,507545.22
202411,4111353000,502484.5
202412,4111353000,517435.38
202501,4111353000,594111.7
202502,4111353000,549948.94
202503,4111353000,525906.1
202504,4111353000,510391.28
202505,4111353000,518811.56
202506,4111353000,490116.2
202307,4111354000,341589.38
202308,4111354000,326714.8
202309,4111354000,332953.53
202310,4111354000,349780.44
202311,4111354000,325102.8
202312,4111354000,351218.5
202401,4111354000,365539.06
202402,4111354000,309927.9
202403,4111354000,333081.62
202404,4111354000,341109.6
202405,4111354000,311812.44
202406,4111354000,297292.44
202407,4111354000,307307.34
202408,4111354000,291211.38
202409,4111354000,335381.53
202410,4111354000,308060.06
202411,4111354000,295831.84
202412,4111354000,299825.5
202501,4111354000,352311.12
202502,4111354000,323258.78
202503,4111354000,310641.12
202504,4111354000,296034.94
202505,4111354000,318028.16
202506,4111354000,318651.9
202307,4111355000,143585.67
202308,4111355000,140886.1
202309,4111355000,139221.38
202310,4111355000,148239.06
202311,4111355000,143937.02
202312,4111355000,141193.02
202401,4111355000,146171.4
202402,4111355000,130829.38
202403,4111355000,144154.45
202404,4111355000,146461.05
202405,4111355000,147091.72
202406,4111355000,152238.45
202407,4111355000,144623.73
202408,4111355000,141783.6
202409,4111355000,146309.27
202410,4111355000,143549.69
202411,4111355000,144032.75
202412,4111355000,142018.7
202501,4111355000,140195.31
202502,4111355000,139126.12
202503,4111355000,147826.66
202504,4111355000,149115.88
202505,4111355000,144405.05
202506,4111355000,140478.27
202307,4111356000,438076.0
202308,4111356000,426756.2
202309,4111356000,418656.0
202310,4111356000,439673.28
202311,4111356000,405875.53
202312,4111356000,422738.78
202401,4111356000,413485.25
202402,4111356000,364476.44
202403,4111356000,407955.38
202404,4111356000,412920.06
202405,4111356000,413950.12
202406,4111356000,405621.62
202407,4111356000,411136.28
202408,4111356000,404636.88
202409,4111356000,432329.6
202410,4111356000,418494.03
202411,4111356000,420714.22
202412,4111356000,410953.44
202501,4111356000,416373.16
202502,4111356000,380014.3
202503,4111356000,413374.25
202504,4111356000,399288.22
202505,4111356000,413907.5
202506,4111356000,434078.25
202307,4111365000,373508.8
202308,4111365000,396743.78
202309,4111365000,387514.62
202310,4111365000,388942.06
202311,4111365000,374574.84
202312,4111365000,391574.75
202401,4111365000,389731.9
202402,4111365000,356614.3
202403,4111365000,384078.44
202404,4111365000,368357.44
202405,4111365000,375950.5
202406,4111365000,370703.66
202407,4111365000,381744.12
202408,4111365000,389955.44
202409,4111365000,400127.78
202410,4111365000,382991.62
202411,4111365000,385089.28
202412,4111365000,395165.6
202501,4111365000,398948.0
202502,4111365000,361539.53
202503,4111365000,389382.7
202504,4111365000,378197.06
202505,4111365000,391551.97
202506,4111365000,380344.3
202307,4111366200,803159.5
202308,4111366200,789903.2
202309,4111366200,784596.9
202310,4111366200,830735.3
202311,4111366200,770417.7
202312,4111366200,811214.3
202401,4111366200,814373.1
202402,4111366200,746486.94
202403,4111366200,826477.75
202404,4111366200,842342.7
202405,4111366200,826311.44
202406,4111366200,811249.8
202407,4111366200,813210.75
202408,4111366200,802416.25
202409,4111366200,868095.5
202410,4111366200,826253.0
202411,4111366200,802053.25
202412,4111366200,810061.8
202501,4111366200,826143.25
202502,4111366200,747205.75
202503,4111366200,816026.75
202504,4111366200,800169.8
202505,4111366200,792017.7
202506,4111366200,779390.5
202307,4111366400,250585.77
202308,4111366400,246252.89
202309,4111366400,246467.25
202310,4111366400,269226.78
202311,4111366400,260630.1
202312,4111366400,272231.38
202401,4111366400,268327.22
202402,4111366400,246436.73
202403,4111366400,250026.31
202404,4111366400,256439.67
202405,4111366400,257033.64
202406,4111366400,254028.97
202407,4111366400,264330.25
202408,4111366400,273870.8
202409,4111366400,271876.66
202410,4111366400,266257.4
202411,4111366400,262032.06
202412,4111366400,264968.62
202501,4111366400,269892.16
202502,4111366400,248693.97
202503,4111366400,268551.2
202504,4111366400,252666.36
202505,4111366400,262010.19
202506,4111366400,257809.6
202307,4111367000,1480385.8
202308,4111367000,1492788.9
202309,4111367000,1462384.8
202310,4111367000,1644049.0
202311,4111367000,1579876.5
202312,4111367000,1626215.9
202401,4111367000,1666580.1
202402,4111367000,1531126.6
202403,4111367000,1668855.8
202404,4111367000,1608897.5
202405,4111367000,1656357.2
202406,4111367000,1608443.0
202407,4111367000,1662192.9
202408,4111367000,1614611.8
202409,4111367000,1732168.5
202410,4111367000,1580379.0
202411,4111367000,1552318.8
202412,4111367000,1570621.0
202501,4111367000,1634640.1
202502,4111367000,1549985.2
202503,4111367000,1556825.9
202504,4111367000,1497388.6
202505,4111367000,1535243.9
202506,4111367000,1488121.2
202307,4111368000,1265785.2
202308,4111368000,1276778.0
202309,4111368000,1321102.9
202310,4111368000,1231299.5
202311,4111368000,1142205.1
202312,4111368000,1162975.9
202401,4111368000,1172418.0
202402,4111368000,1061563.5
202403,4111368000,1180089.9
202404,4111368000,1274839.2
202405,4111368000,1212861.5
202406,4111368000,1184181.9
202407,4111368000,1245337.8
202408,4111368000,1271680.0
202409,4111368000,1274738.0
202410,4111368000,1201771.8
202411,4111368000,1186629.1
202412,4111368000,1204578.0
202501,4111368000,1268247.4
202502,4111368000,1149466.5
202503,4111368000,1226335.9
202504,4111368000,1172027.8
202505,4111368000,1183585.0
202506,4111368000,1201970.8
202307,4111369000,488419.7
202308,4111369000,483330.97
202309,4111369000,471152.4
202310,4111369000,490849.2
202311,4111369000,453983.22
202312,4111369000,464454.25
202401,4111369000,471158.84
202402,4111369000,417746.44
202403,4111369000,463629.44
202404,4111369000,466033.22
202405,4111369000,456306.22
202406,4111369000,447309.9
202407,4111369000,450209.78
202408,4111369000,437761.28
202409,4111369000,491587.28
202410,4111369000,480547.9
202411,4111369000,466815.9
202412,4111369000,473029.5
202501,4111369000,484790.44
202502,4111369000,454199.78
202503,4111369000,526145.1
202504,4111369000,467597.6
202505,4111369000,480021.53
202506,4111369000,463084.7
202307,4111370000,98122.59
202308,4111370000,96925.17
202309,4111370000,98605.32
202310,4111370000,115595.21
202311,4111370000,100290.07
202312,4111370000,100370.77
202401,4111370000,101298.33
202402,4111370000,93940.51
202403,4111370000,101787.89
202404,4111370000,100357.52
202405,4111370000,100201.43
202406,4111370000,93070.3
202407,4111370000,102514.19
202408,4111370000,101543.7
202409,4111370000,111038.85
202410,4111370000,106564.38
202411,4111370000,102857.23
202412,4111370000,101636.3
202501,4111370000,104657.25
202502,4111370000,95589.48
202503,4111370000,101874.43
202504,4111370000,100375.47
202505,4111370000,102454.77
202506,4111370000,102974.13
202307,4111565000,328689.38
202308,4111565000,319816.3
202309,4111565000,326209.38
202310,4111565000,351391.2
202311,4111565000,323310.44
202312,4111565000,329967.56
202401,4111565000,328576.88
202402,4111565000,288864.06
202403,4111565000,339688.84
202404,4111565000,336734.7
202405,4111565000,353517.97
202406,4111565000,331394.75
202407,4111565000,344809.8
202408,4111565000,337455.22
202409,4111565000,377631.22
202410,4111565000,351024.78
202411,4111565000,340092.66
202412,4111565000,344334.9
202501,4111565000,361967.7
202502,4111565000,349058.88
202503,4111565000,367665.44
202504,4111565000,350780.66
202505,4111565000,395162.78
202506,4111565000,393035.38
202307,4111566000,889571.6
202308,4111566000,884962.94
202309,4111566000,882758.5
202310,4111566000,897591.94
202311,4111566000,841857.7
202312,4111566000,928300.44
202401,4111566000,892048.1
202402,4111566000,879141.7
202403,4111566000,923364.56
202404,4111566000,862664.7
202405,4111566000,924797.06
202406,4111566000,864754.25
202407,4111566000,891534.5
202408,4111566000,884125.25
202409,4111566000,983024.0
202410,4111566000,863751.3
202411,4111566000,850650.06
202412,4111566000,909324.5
202501,4111566000,1039625.9
202502,4111566000,958203.0
202503,4111566000,986207.8
202504,4111566000,848998.8
202505,4111566000,901068.94
202506,4111566000,821666.25
202307,4111567000,144970.89
202308,4111567000,149088.64
202309,4111567000,141680.97
202310,4111567000,155022.23
202311,4111567000,150475.12
202312,4111567000,167925.47
202401,4111567000,168781.94
202402,4111567000,164693.62
202403,4111567000,170159.84
202404,4111567000,172003.61
202405,4111567000,172253.34
202406,4111567000,158801.73
202407,4111567000,156283.52
202408,4111567000,160856.84
202409,4111567000,193024.6
202410,4111567000,173322.48
202411,4111567000,162723.06
202412,4111567000,163753.39
202501,4111567000,184593.48
202502,4111567000,167494.34
202503,4111567000,169185.12
202504,4111567000,166745.56
202505,4111567000,168091.73
202506,4111567000,137038.4
202307,4111568000,1154071.0
202308,4111568000,1133009.1
202309,4111568000,1185434.8
202310,4111568000,1206591.6
202311,4111568000,1129985.6
202312,4111568000,1156862.2
202401,4111568000,1168694.2
202402,4111568000,1080788.5
202403,4111568000,1143139.5
202404,4111568000,1181329.6
202405,4111568000,1153257.4
202406,4111568000,1109766.2
202407,4111568000,1152296.8
202408,4111568000,1126133.1
202409,4111568000,1323687.9
202410,4111568000,1158682.8
202411,4111568000,1122186.2
202412,4111568000,1134149.4
202501,4111568000,1291670.0
202502,4111568000,1152448.1
202503,4111568000,1151229.2
202504,4111568000,1154909.1
202505,4111568000,1130076.0
202506,4111568000,1124934.2
202307,4111569000,494371.84
202308,4111569000,493171.25
202309,4111569000,499326.38
202310,4111569000,545274.7
202311,4111569000,506095.5
202312,4111569000,507338.44
202401,4111569000,482836.6
202402,4111569000,452515.84
202403,4111569000,494523.44
202404,4111569000,506251.12
202405,4111569000,494009.0
202406,4111569000,479578.4
202407,4111569000,481345.75
202408,4111569000,471984.94
202409,4111569000,514272.44
202410,4111569000,491736.66
202411,4111569000,481619.97
202412,4111569000,489796.84
202501,4111569000,494644.12
202502,4111569000,459389.3
202503,4111569000,501163.56
202504,4111569000,521194.4
202505,4111569000,494115.16
202506,4111569000,474251.22
202307,4111570000,486128.47
202308,4111570000,474607.25
202309,4111570000,486459.56
202310,4111570000,609401.25
202311,4111570000,563191.94
202312,4111570000,566836.0
202401,4111570000,610699.1
202402,4111570000,528112.2
202403,4111570000,580388.3
202404,4111570000,560507.1
202405,4111570000,562371.2
202406,4111570000,544363.4
202407,4111570000,569337.44
202408,4111570000,571328.06
202409,4111570000,661155.0
202410,4111570000,601781.8
202411,4111570000,579835.8
202412,4111570000,594628.75
202501,4111570000,657383.56
202502,4111570000,624156.5
202503,4111570000,614768.9
202504,4111570000,597920.3
202505,4111570000,603670.7
202506,4111570000,572877.56
202307,4111571000,238985.94
202308,4111571000,227505.6
202309,4111571000,236025.67
202310,4111571000,253227.69
202311,4111571000,221930.42
202312,4111571000,224870.16
202401,4111571000,210609.7
202402,4111571000,187881.3
202403,4111571000,219576.12
202404,4111571000,216982.31
202405,4111571000,224086.31
202406,4111571000,215365.42
202407,4111571000,209248.84
202408,4111571000,222721.95
202409,4111571000,222555.4
202410,4111571000,226389.66
202411,4111571000,199610.8
202412,4111571000,198170.39
202501,4111571000,198585.5
202502,4111571000,188978.38
202503,4111571000,221992.14
202504,4111571000,208867.05
202505,4111571000,217694.28
202506,4111571000,199950.94
202307,4111572000,226589.97
202308,4111572000,230706.34
202309,4111572000,238920.84
202310,4111572000,252630.52
202311,4111572000,235273.33
202312,4111572000,237433.1
202401,4111572000,227973.36
202402,4111572000,203506.05
202403,4111572000,250756.39
202404,4111572000,247279.75
202405,4111572000,244437.86
202406,4111572000,230824.86
202407,4111572000,229523.94
202408,4111572000,230064.2
202409,4111572000,245508.62
202410,4111572000,237623.31
202411,4111572000,278590.44
202412,4111572000,239075.17
202501,4111572000,233132.52
202502,4111572000,217040.36
202503,4111572000,258546.31
202504,4111572000,237263.38
202505,4111572000,234985.61
202506,4111572000,220102.2
202307,4111573000,3046060.8
202308,4111573000,3189001.0
202309,4111573000,3147429.2
202310,4111573000,3260470.5
202311,4111573000,3053533.8
202312,4111573000,3291750.0
202401,4111573000,3180811.8
202402,4111573000,2838977.5
202403,4111573000,3154963.8
202404,4111573000,3185218.0
202405,4111573000,3226354.0
202406,4111573000,3106496.5
202407,4111573000,3209388.5
202408,4111573000,3125025.5
202409,4111573000,3260343.2
202410,4111573000,3169124.8
202411,4111573000,3127645.0
202412,4111573000,3218694.0
202501,4111573000,3317778.2
202502,4111573000,3124919.0
202503,4111573000,3248059.5
202504,4111573000,3111070.5
202505,4111573000,3162034.0
202506,4111573000,2998553.2
202307,4111574000,253864.88
202308,4111574000,254539.06
202309,4111574000,279825.0
202310,4111574000,336630.0
202311,4111574000,257358.86
202312,4111574000,262510.5
202401,4111574000,242355.69
202402,4111574000,222434.66
202403,4111574000,284114.0
202404,4111574000,297742.97
202405,4111574000,289509.72
202406,4111574000,269072.84
202407,4111574000,251080.72
202408,4111574000,253328.22
202409,4111574000,290720.44
202410,4111574000,326162.3
202411,4111574000,266145.7
202412,4111574000,258936.69
202501,4111574000,256809.16
202502,4111574000,241298.66
202503,4111574000,286406.03
202504,4111574000,282767.56
202505,4111574000,292132.25
202506,4111574000,268657.06
202307,4111751000,365281.78
202308,4111751000,361609.2
202309,4111751000,367095.0
202310,4111751000,376961.97
202311,4111751000,354679.97
202312,4111751000,367131.53
202401,4111751000,388036.03
202402,4111751000,334943.0
202403,4111751000,359655.66
202404,4111751000,351106.4
202405,4111751000,356146.5
202406,4111751000,348582.53
202407,4111751000,360237.78
202408,4111751000,356208.34
202409,4111751000,393252.78
202410,4111751000,356380.28
202411,4111751000,352423.97
202412,4111751000,349806.9
202501,4111751000,378666.88
202502,4111751000,351962.47
202503,4111751000,386832.66
202504,4111751000,363396.6
202505,4111751000,367446.25
202506,4111751000,349851.44
202307,4111752000,730760.2
202308,4111752000,727884.8
202309,4111752000,730921.6
202310,4111752000,741618.5
202311,4111752000,718481.5
202312,4111752000,748395.4
202401,4111752000,761284.25
202402,4111752000,698211.75
202403,4111752000,808761.1
202404,4111752000,806085.06
202405,4111752000,807764.0
202406,4111752000,776650.25
202407,4111752000,830202.3
202408,4111752000,843401.1
202409,4111752000,869427.9
202410,4111752000,849489.2
202411,4111752000,819558.3
202412,4111752000,820351.4
202501,4111752000,795581.7
202502,4111752000,783866.5
202503,4111752000,837461.56
202504,4111752000,795183.0
202505,4111752000,749214.44
202506,4111752000,779776.1
202307,4111753000,2337482.2
202308,4111753000,2307649.0
202309,4111753000,2141366.2
202310,4111753000,2254926.8
202311,4111753000,2289168.0
202312,4111753000,2153592.2
202401,4111753000,2312177.8
202402,4111753000,1952916.1
202403,4111753000,2288626.2
202404,4111753000,2306066.8
202405,4111753000,2302955.5
202406,4111753000,2182452.8
202407,4111753000,2393206.8
202408,4111753000,2260035.5
202409,4111753000,2212760.2
202410,4111753000,2174503.5
202411,4111753000,2194046.8
202412,4111753000,2146781.2
202501,4111753000,2104885.2
202502,4111753000,2103175.8
202503,4111753000,2221730.0
202504,4111753000,2256457.2
202505,4111753000,2156046.5
202506,4111753000,2101477.5
202307,4111754000,508979.22
202308,4111754000,503821.88
202309,4111754000,511474.53
202310,4111754000,554627.44
202311,4111754000,538102.0
202312,4111754000,526196.56
202401,4111754000,534631.1
202402,4111754000,454025.47
202403,4111754000,522570.0
202404,4111754000,512640.53
202405,4111754000,510972.62
202406,4111754000,487684.12
202407,4111754000,507404.88
202408,4111754000,496338.06
202409,4111754000,528994.8
202410,4111754000,521825.88
202411,4111754000,512321.12
202412,4111754000,510371.38
202501,4111754000,521266.47
202502,4111754000,469541.12
202503,4111754000,493975.7
202504,4111754000,475820.7
202505,4111754000,486048.34
202506,4111754000,486900.12
202307,4111755000,635923.7
202308,4111755000,652750.3
202309,4111755000,667128.4
202310,4111755000,669529.0
202311,4111755000,673093.25
202312,4111755000,658725.1
202401,4111755000,652351.4
202402,4111755000,585951.2
202403,4111755000,712092.9
202404,4111755000,692772.6
202405,4111755000,691608.3
202406,4111755000,638527.0
202407,4111755000,645259.94
202408,4111755000,627865.0
202409,4111755000,697105.44
202410,4111755000,696309.5
202411,4111755000,657250.5
202412,4111755000,645093.94
202501,4111755000,633267.1
202502,4111755000,625601.7
202503,4111755000,726600.5
202504,4111755000,685510.94
202505,4111755000,677066.5
202506,4111755000,633287.25
202307,4111757000,485919.56
202308,4111757000,512603.9
202309,4111757000,499018.5
202310,4111757000,519029.16
202311,4111757000,490783.94
202312,4111757000,502543.2
202401,4111757000,509799.1
202402,4111757000,441518.88
202403,4111757000,512966.56
202404,4111757000,491791.12
202405,4111757000,506789.47
202406,4111757000,494613.62
202407,4111757000,505384.3
202408,4111757000,496634.75
202409,4111757000,520290.6
202410,4111757000,503136.6
202411,4111757000,482343.28
202412,4111757000,471121.75
202501,4111757000,489314.97
202502,4111757000,453187.12
202503,4111757000,498538.1
202504,4111757000,493801.66
202505,4111757000,469198.94
202506,4111757000,486060.38
202307,4111758000,753495.1
202308,4111758000,756256.75
202309,4111758000,719648.3
202310,4111758000,755859.1
202311,4111758000,741428.3
202312,4111758000,752048.56
202401,4111758000,757299.6
202402,4111758000,684536.0
202403,4111758000,791835.56
202404,4111758000,776940.7
202405,4111758000,775768.06
202406,4111758000,721500.7
202407,4111758000,751217.9
202408,4111758000,743846.2
202409,4111758000,763207.56
202410,4111758000,765207.7
202411,4111758000,752336.44
202412,4111758000,779095.1
202501,4111758000,780625.56
202502,4111758000,746374.5
202503,4111758000,765837.4
202504,4111758000,770073.2
202505,4111758000,746747.6
202506,4111758000,716774.7
202307,4111758500,1653786.2
202308,4111758500,1602779.2
202309,4111758500,1621202.2
202310,4111758500,1620613.2
202311,4111758500,1546757.6
202312,4111758500,1577288.6
202401,4111758500,1555198.1
202402,4111758500,1420076.2
202403,4111758500,1671986.1
202404,4111758500,1622742.2
202405,4111758500,1556001.9
202406,4111758500,1521919.2
202407,4111758500,1532819.1
202408,4111758500,1538146.5
202409,4111758500,1660175.6
202410,4111758500,1558563.8
202411,4111758500,1532046.4
202412,4111758500,1510844.6
202501,4111758500,1529992.4
202502,4111758500,1499134.8
202503,4111758500,1650404.4
202504,4111758500,1537655.8
202505,4111758500,1530170.1
202506,4111758500,1479328.6
202307,4111759300,797042.4
202308,4111759300,770190.4
202309,4111759300,738794.94
202310,4111759300,791895.2
202311,4111759300,753959.94
202312,4111759300,775964.44
202401,4111759300,788154.94
202402,4111759300,717607.0
202403,4111759300,773800.2
202404,4111759300,754078.3
202405,4111759300,775518.44
202406,4111759300,747909.9
202407,4111759300,912196.1
202408,4111759300,870800.94
202409,4111759300,882251.1
202410,4111759300,869991.6
202411,4111759300,802136.94
202412,4111759300,801725.56
202501,4111759300,830409.4
202502,4111759300,777408.25
202503,4111759300,786273.25
202504,4111759300,716981.2
202505,4111759300,711930.2
202506,4111759300,751898.3
202307,4111759600,299781.3
202308,4111759600,286972.62
202309,4111759600,277753.6
202310,4111759600,297335.72
202311,4111759600,284966.2
202312,4111759600,291106.66
202401,4111759600,311303.22
202402,4111759600,278834.6
202403,4111759600,297378.12
202404,4111759600,296244.28
202405,4111759600,295096.6
202406,4111759600,282284.94
202407,4111759600,295069.56
202408,4111759600,286647.4
202409,4111759600,305393.16
202410,4111759600,352489.94
202411,4111759600,323240.22
202412,4111759600,327615.75
202501,4111759600,352546.94
202502,4111759600,335592.03
202503,4111759600,354626.47
202504,4111759600,368436.28
202505,4111759600,382649.3
202506,4111759600,356820.34
202307,4111760000,762268.2
202308,4111760000,762451.56
202309,4111760000,782974.06
202310,4111760000,809151.1
202311,4111760000,789086.3
202312,4111760000,774020.94
202401,4111760000,764897.44
202402,4111760000,704034.3
202403,4111760000,834321.94
202404,4111760000,816990.44
202405,4111760000,803299.9
202406,4111760000,753429.0
202407,4111760000,765547.2
202408,4111760000,747271.9
202409,4111760000,837337.0
202410,4111760000,794776.4
202411,4111760000,815473.6
202412,4111760000,775955.94
202501,4111760000,751090.25
202502,4111760000,740260.2
202503,4111760000,840540.56
202504,4111760000,797865.3
202505,4111760000,764662.4
202506,4111760000,748533.44
202307,4111761000,471811.44
202308,4111761000,478297.03
202309,4111761000,457470.8
202310,4111761000,458771.88
202311,4111761000,413026.72
202312,4111761000,428706.06
202401,4111761000,411577.53
202402,4111761000,396336.06
202403,4111761000,433968.88
202404,4111761000,418442.2
202405,4111761000,448281.9
202406,4111761000,411256.72
202407,4111761000,426723.62
202408,4111761000,403097.2
202409,4111761000,418065.62
202410,4111761000,404199.53
202411,4111761000,390566.25
202412,4111761000,399195.72
202501,4111761000,422557.97
202502,4111761000,387538.5
202503,4111761000,406398.38
202504,4111761000,405294.72
202505,4111761000,430445.0
202506,4111761000,415795.72
202307,4113151000,452038.62
202308,4113151000,438283.25
