행정동코드,행정구역,기준연월,총인구수
4111157300,경기도 수원시 장안구 정자3동,202406,39136.0
4111157300,경기도 수원시 장안구 정자3동,202407,39162.0
4111157300,경기도 수원시 장안구 정자3동,202408,39093.0
4111157300,경기도 수원시 장안구 정자3동,202409,39054.0
4111157300,경기도 수원시 장안구 정자3동,202410,39061.0
4111157300,경기도 수원시 장안구 정자3동,202411,39018.0
4111157300,경기도 수원시 장안구 정자3동,202412,39016.0
4111157300,경기도 수원시 장안구 정자3동,202501,38937.0
4111157300,경기도 수원시 장안구 정자3동,202502,38876.0
4111157300,경기도 수원시 장안구 정자3동,202503,38812.0
4111157300,경기도 수원시 장안구 정자3동,202504,38713.0
4111157300,경기도 수원시 장안구 정자3동,202505,38674.0
4111157300,경기도 수원시 장안구 정자3동,202506,38626.0
4111158000,경기도 수원시 장안구 영화동,202307,19165.0
4111158000,경기도 수원시 장안구 영화동,202308,19057.0
4111158000,경기도 수원시 장안구 영화동,202309,19008.0
4111158000,경기도 수원시 장안구 영화동,202310,18839.0
4111158000,경기도 수원시 장안구 영화동,202311,18704.0
4111158000,경기도 수원시 장안구 영화동,202312,18624.0
4111158000,경기도 수원시 장안구 영화동,202401,18589.0
4111158000,경기도 수원시 장안구 영화동,202402,18544.0
4111158000,경기도 수원시 장안구 영화동,202403,18484.0
4111158000,경기도 수원시 장안구 영화동,202404,18408.0
4111158000,경기도 수원시 장안구 영화동,202405,18335.0
4111158000,경기도 수원시 장안구 영화동,202406,18289.0
4111158000,경기도 수원시 장안구 영화동,202407,18240.0
4111158000,경기도 수원시 장안구 영화동,202408,18198.0
4111158000,경기도 수원시 장안구 영화동,202409,18182.0
4111158000,경기도 수원시 장안구 영화동,202410,18079.0
4111158000,경기도 수원시 장안구 영화동,202411,18030.0
4111158000,경기도 수원시 장안구 영화동,202412,18026.0
4111158000,경기도 수원시 장안구 영화동,202501,18005.0
4111158000,경기도 수원시 장안구 영화동,202502,17987.0
4111158000,경기도 수원시 장안구 영화동,202503,17996.0
4111158000,경기도 수원시 장안구 영화동,202504,17925.0
4111158000,경기도 수원시 장안구 영화동,202505,17872.0
4111158000,경기도 수원시 장안구 영화동,202506,17819.0
4111159100,경기도 수원시 장안구 송죽동,202307,18900.0
4111159100,경기도 수원시 장안구 송죽동,202308,18797.0
4111159100,경기도 수원시 장안구 송죽동,202309,18687.0
4111159100,경기도 수원시 장안구 송죽동,202310,18611.0
4111159100,경기도 수원시 장안구 송죽동,202311,18541.0
4111159100,경기도 수원시 장안구 송죽동,202312,18506.0
4111159100,경기도 수원시 장안구 송죽동,202401,18436.0
4111159100,경기도 수원시 장안구 송죽동,202402,18423.0
4111159100,경기도 수원시 장안구 송죽동,202403,18393.0
4111159100,경기도 수원시 장안구 송죽동,202404,18374.0
4111159100,경기도 수원시 장안구 송죽동,202405,18289.0
4111159100,경기도 수원시 장안구 송죽동,202406,18223.0
4111159100,경기도 수원시 장안구 송죽동,202407,18203.0
4111159100,경기도 수원시 장안구 송죽동,202408,18220.0
4111159100,경기도 수원시 장안구 송죽동,202409,18153.0
4111159100,경기도 수원시 장안구 송죽동,202410,18184.0
4111159100,경기도 수원시 장안구 송죽동,202411,18195.0
4111159100,경기도 수원시 장안구 송죽동,202412,18232.0
4111159100,경기도 수원시 장안구 송죽동,202501,18203.0
4111159100,경기도 수원시 장안구 송죽동,202502,18142.0
4111159100,경기도 수원시 장안구 송죽동,202503,18114.0
4111159100,경기도 수원시 장안구 송죽동,202504,18079.0
4111159100,경기도 수원시 장안구 송죽동,202505,18070.0
4111159100,경기도 수원시 장안구 송죽동,202506,18077.0
4111159700,경기도 수원시 장안구 조원1동,202307,28785.0
4111159700,경기도 수원시 장안구 조원1동,202308,28715.0
4111159700,경기도 수원시 장안구 조원1동,202309,28679.0
4111159700,경기도 수원시 장안구 조원1동,202310,28609.0
4111159700,경기도 수원시 장안구 조원1동,202311,28595.0
4111159700,경기도 수원시 장안구 조원1동,202312,28582.0
4111159700,경기도 수원시 장안구 조원1동,202401,28536.0
4111159700,경기도 수원시 장안구 조원1동,202402,28505.0
4111159700,경기도 수원시 장안구 조원1동,202403,28437.0
4111159700,경기도 수원시 장안구 조원1동,202404,28313.0
4111159700,경기도 수원시 장안구 조원1동,202405,28208.0
4111159700,경기도 수원시 장안구 조원1동,202406,28176.0
4111159700,경기도 수원시 장안구 조원1동,202407,28133.0
4111159700,경기도 수원시 장안구 조원1동,202408,28065.0
4111159700,경기도 수원시 장안구 조원1동,202409,27999.0
4111159700,경기도 수원시 장안구 조원1동,202410,27962.0
4111159700,경기도 수원시 장안구 조원1동,202411,27915.0
4111159700,경기도 수원시 장안구 조원1동,202412,27857.0
4111159700,경기도 수원시 장안구 조원1동,202501,27822.0
4111159700,경기도 수원시 장안구 조원1동,202502,27767.0
4111159700,경기도 수원시 장안구 조원1동,202503,27748.0
4111159700,경기도 수원시 장안구 조원1동,202504,27738.0
4111159700,경기도 수원시 장안구 조원1동,202505,27701.0
4111159700,경기도 수원시 장안구 조원1동,202506,27644.0
4111159800,경기도 수원시 장안구 조원2동,202307,17860.0
4111159800,경기도 수원시 장안구 조원2동,202308,17831.0
4111159800,경기도 수원시 장안구 조원2동,202309,17795.0
4111159800,경기도 수원시 장안구 조원2동,202310,17719.0
4111159800,경기도 수원시 장안구 조원2동,202311,17722.0
4111159800,경기도 수원시 장안구 조원2동,202312,17711.0
4111159800,경기도 수원시 장안구 조원2동,202401,17704.0
4111159800,경기도 수원시 장안구 조원2동,202402,17709.0
4111159800,경기도 수원시 장안구 조원2동,202403,17713.0
4111159800,경기도 수원시 장안구 조원2동,202404,17660.0
4111159800,경기도 수원시 장안구 조원2동,202405,17608.0
4111159800,경기도 수원시 장안구 조원2동,202406,17606.0
4111159800,경기도 수원시 장안구 조원2동,202407,17590.0
4111159800,경기도 수원시 장안구 조원2동,202408,17584.0
4111159800,경기도 수원시 장안구 조원2동,202409,17564.0
4111159800,경기도 수원시 장안구 조원2동,202410,17534.0
4111159800,경기도 수원시 장안구 조원2동,202411,17590.0
4111159800,경기도 수원시 장안구 조원2동,202412,17581.0
4111159800,경기도 수원시 장안구 조원2동,202501,17548.0
4111159800,경기도 수원시 장안구 조원2동,202502,17518.0
4111159800,경기도 수원시 장안구 조원2동,202503,17479.0
4111159800,경기도 수원시 장안구 조원2동,202504,17412.0
4111159800,경기도 수원시 장안구 조원2동,202505,17363.0
4111159800,경기도 수원시 장안구 조원2동,202506,17355.0
4111160000,경기도 수원시 장안구 연무동,202307,16940.0
4111160000,경기도 수원시 장안구 연무동,202308,17151.0
4111160000,경기도 수원시 장안구 연무동,202309,17196.0
4111160000,경기도 수원시 장안구 연무동,202310,17229.0
4111160000,경기도 수원시 장안구 연무동,202311,17231.0
4111160000,경기도 수원시 장안구 연무동,202312,17249.0
4111160000,경기도 수원시 장안구 연무동,202401,17240.0
4111160000,경기도 수원시 장안구 연무동,202402,17286.0
4111160000,경기도 수원시 장안구 연무동,202403,17403.0
4111160000,경기도 수원시 장안구 연무동,202404,17356.0
4111160000,경기도 수원시 장안구 연무동,202405,17348.0
4111160000,경기도 수원시 장안구 연무동,202406,17323.0
4111160000,경기도 수원시 장안구 연무동,202407,17321.0
4111160000,경기도 수원시 장안구 연무동,202408,17335.0
4111160000,경기도 수원시 장안구 연무동,202409,17295.0
4111160000,경기도 수원시 장안구 연무동,202410,17293.0
4111160000,경기도 수원시 장안구 연무동,202411,17277.0
4111160000,경기도 수원시 장안구 연무동,202412,17282.0
4111160000,경기도 수원시 장안구 연무동,202501,17217.0
4111160000,경기도 수원시 장안구 연무동,202502,17229.0
4111160000,경기도 수원시 장안구 연무동,202503,17207.0
4111160000,경기도 수원시 장안구 연무동,202504,17196.0
4111160000,경기도 수원시 장안구 연무동,202505,17179.0
4111160000,경기도 수원시 장안구 연무동,202506,17136.0
4111352000,경기도 수원시 권선구 세류1동,202307,9789.0
4111352000,경기도 수원시 권선구 세류1동,202308,9751.0
4111352000,경기도 수원시 권선구 세류1동,202309,9711.0
4111352000,경기도 수원시 권선구 세류1동,202310,9700.0
4111352000,경기도 수원시 권선구 세류1동,202311,9711.0
4111352000,경기도 수원시 권선구 세류1동,202312,9686.0
4111352000,경기도 수원시 권선구 세류1동,202401,9673.0
4111352000,경기도 수원시 권선구 세류1동,202402,9693.0
4111352000,경기도 수원시 권선구 세류1동,202403,9682.0
4111352000,경기도 수원시 권선구 세류1동,202404,9685.0
4111352000,경기도 수원시 권선구 세류1동,202405,9694.0
4111352000,경기도 수원시 권선구 세류1동,202406,9698.0
4111352000,경기도 수원시 권선구 세류1동,202407,9721.0
4111352000,경기도 수원시 권선구 세류1동,202408,9738.0
4111352000,경기도 수원시 권선구 세류1동,202409,9714.0
4111352000,경기도 수원시 권선구 세류1동,202410,9676.0
4111352000,경기도 수원시 권선구 세류1동,202411,9665.0
4111352000,경기도 수원시 권선구 세류1동,202412,9611.0
4111352000,경기도 수원시 권선구 세류1동,202501,9612.0
4111352000,경기도 수원시 권선구 세류1동,202502,9563.0
4111352000,경기도 수원시 권선구 세류1동,202503,9549.0
4111352000,경기도 수원시 권선구 세류1동,202504,9539.0
4111352000,경기도 수원시 권선구 세류1동,202505,9522.0
4111352000,경기도 수원시 권선구 세류1동,202506,9519.0
4111353000,경기도 수원시 권선구 세류2동,202307,23257.0
4111353000,경기도 수원시 권선구 세류2동,202308,23145.0
4111353000,경기도 수원시 권선구 세류2동,202309,23037.0
4111353000,경기도 수원시 권선구 세류2동,202310,22969.0
4111353000,경기도 수원시 권선구 세류2동,202311,22945.0
4111353000,경기도 수원시 권선구 세류2동,202312,22896.0
4111353000,경기도 수원시 권선구 세류2동,202401,22905.0
4111353000,경기도 수원시 권선구 세류2동,202402,22864.0
4111353000,경기도 수원시 권선구 세류2동,202403,22819.0
4111353000,경기도 수원시 권선구 세류2동,202404,22719.0
4111353000,경기도 수원시 권선구 세류2동,202405,22651.0
4111353000,경기도 수원시 권선구 세류2동,202406,22615.0
4111353000,경기도 수원시 권선구 세류2동,202407,22592.0
4111353000,경기도 수원시 권선구 세류2동,202408,22491.0
4111353000,경기도 수원시 권선구 세류2동,202409,22447.0
4111353000,경기도 수원시 권선구 세류2동,202410,22421.0
4111353000,경기도 수원시 권선구 세류2동,202411,22351.0
4111353000,경기도 수원시 권선구 세류2동,202412,22285.0
4111353000,경기도 수원시 권선구 세류2동,202501,22255.0
4111353000,경기도 수원시 권선구 세류2동,202502,22208.0
4111353000,경기도 수원시 권선구 세류2동,202503,22203.0
4111353000,경기도 수원시 권선구 세류2동,202504,22155.0
4111353000,경기도 수원시 권선구 세류2동,202505,22129.0
4111353000,경기도 수원시 권선구 세류2동,202506,22091.0
4111354000,경기도 수원시 권선구 세류3동,202307,18062.0
4111354000,경기도 수원시 권선구 세류3동,202308,17992.0
4111354000,경기도 수원시 권선구 세류3동,202309,17923.0
4111354000,경기도 수원시 권선구 세류3동,202310,17872.0
4111354000,경기도 수원시 권선구 세류3동,202311,17850.0
4111354000,경기도 수원시 권선구 세류3동,202312,17802.0
4111354000,경기도 수원시 권선구 세류3동,202401,17802.0
4111354000,경기도 수원시 권선구 세류3동,202402,17750.0
4111354000,경기도 수원시 권선구 세류3동,202403,17713.0
4111354000,경기도 수원시 권선구 세류3동,202404,17671.0
4111354000,경기도 수원시 권선구 세류3동,202405,17685.0
4111354000,경기도 수원시 권선구 세류3동,202406,17680.0
4111354000,경기도 수원시 권선구 세류3동,202407,17630.0
