X,Y,BASE_DATE,ADM_CD,ADM_NM
126.989377603425,37.3205311978339,"20250630","31011540",파장동
126.971753418061,37.299591585552,"20250630","31011550",율천동
126.989322506483,37.3047034097773,"20250630","31011560",정자1동
126.998383125512,37.2922710797765,"20250630","31011570",정자2동
127.013579263864,37.2912193460351,"20250630","31011580",영화동
127.004806902897,37.3064346041611,"20250630","31011590",송죽동
127.016503055162,37.3005498148272,"20250630","31011600",조원1동
127.022965759692,37.3246429562692,"20250630","31011610",연무동
126.984660815741,37.298398543539,"20250630","31011620",정자3동
127.013239963378,37.3086451832817,"20250630","31011630",조원2동
127.005393877037,37.2600557094986,"20250630","31012520",세류1동
127.007373979016,37.2442657548554,"20250630","31012530",세류2동
127.015207800778,37.2599188614467,"20250630","31012540",세류3동
126.980102319738,37.2458060941596,"20250630","31012550",평동
126.981940147929,37.2685434218999,"20250630","31012560",서둔동
126.970453685827,37.2808688289032,"20250630","31012570",구운동
127.026988453379,37.2583548403827,"20250630","31012600",권선1동
127.023815671442,37.2363734041808,"20250630","31012610",곡선동
126.948354695771,37.2903219063404,"20250630","31012620",입북동
127.024685634836,37.246024538987,"20250630","31012640",권선2동
126.944326531388,37.2736416487843,"20250630","31012650",금곡동
126.953058977438,37.2624891633696,"20250630","31012660",호매실동
127.025034440116,37.2804292689842,"20250630","31013530",지동
127.033191906836,37.2876850372392,"20250630","31013540",우만1동
127.038584877416,37.2801874993811,"20250630","31013550",우만2동
127.03039168782,37.2687863446114,"20250630","31013560",인계동
127.015829521181,37.2692716639508,"20250630","31013670",매교동
127.005725787191,37.2690884954385,"20250630","31013680",매산동
127.002952590267,37.2743040472395,"20250630","31013690",고등동
127.001462820976,37.2807298703627,"20250630","31013700",화서1동
126.99069998493,37.2842316090398,"20250630","31013710",화서2동
127.016395770746,37.2820152525643,"20250630","31013720",행궁동
127.04025213379,37.2707935410149,"20250630","31014510",매탄1동
127.051412061831,37.2705365556268,"20250630","31014520",매탄2동
127.050075665716,37.257234545567,"20250630","31014530",매탄3동
127.049316353,37.2662574246382,"20250630","31014540",매탄4동
127.056877082788,37.2733235354414,"20250630","31014600",원천동
127.047689560309,37.3012843895559,"20250630","31014620",광교1동
127.07264960858,37.2872715096292,"20250630","31014630",광교2동
127.077196594309,37.2612970408433,"20250630","31014640",영통1동
127.054250585397,37.2476398800209,"20250630","31014650",영통2동
127.071811935185,37.2516812767979,"20250630","31014660",영통3동
127.0584570543,37.2391622093233,"20250630","31014670",망포1동
127.047377135409,37.2405624009367,"20250630","31014680",망포2동
127.140554976661,37.4409167438293,"20250630","31021510",신흥1동
127.148086726079,37.4496871311176,"20250630","31021520",신흥2동
127.146694985668,37.4429327775361,"20250630","31021530",신흥3동
127.123594251333,37.4457629619277,"20250630","31021540",태평1동
127.136406367148,37.4475954677862,"20250630","31021550",태평2동
127.132183417076,37.4453993508351,"20250630","31021560",태평3동
127.140821241101,37.4485505269404,"20250630","31021570",태평4동
127.135809222265,37.4384663926908,"20250630","31021580",수진1동
127.126041802488,37.4364307267824,"20250630","31021590",수진2동
127.157299344101,37.4549336002569,"20250630","31021600",단대동
127.15286853544,37.4566057821126,"20250630","31021610",산성동
127.166322838536,37.4641465717033,"20250630","31021620",양지동
127.105005033226,37.4498953040346,"20250630","31021640",신촌동
127.081016256959,37.4291412914744,"20250630","31021650",고등동
127.083315243757,37.4120218791636,"20250630","31021660",시흥동
127.130774070498,37.4587610308772,"20250630","31021670",복정동
127.146965459718,37.4678041912652,"20250630","31021680",위례동
127.132717348944,37.4313568837276,"20250630","31022510",성남동
127.166191241745,37.4443578436663,"20250630","31022530",금광1동
127.167905873708,37.4492270767741,"20250630","31022540",금광2동
127.16719275099,37.4524937303515,"20250630","31022550",은행1동
127.175036788467,37.4610565285375,"20250630","31022560",은행2동
127.18015292945,37.4402512094401,"20250630","31022570",상대원1동
127.158011786845,37.4352760829969,"20250630","31022580",상대원2동
127.163300189881,37.4389956192146,"20250630","31022590",상대원3동
127.145922811028,37.4281525799052,"20250630","31022600",하대원동
127.160886206009,37.4193231520691,"20250630","31022610",도촌동
127.152205680799,37.4399402750825,"20250630","31022620",중앙동
127.144647146242,37.3688883567218,"20250630","31023510",분당동
127.129413197392,37.3648492074632,"20250630","31023520",수내3동
127.115982708974,37.3790556718864,"20250630","31023530",수내1동
127.123023502804,37.3749567977508,"20250630","31023540",수내2동
127.118704856272,37.3665995151902,"20250630","31023550",정자2동
127.123054933616,37.3576030595741,"20250630","31023560",정자3동
127.149208891966,37.3855991472418,"20250630","31023580",서현1동
127.137424494737,37.3752393122529,"20250630","31023590",서현2동
127.133501060709,37.3953277589034,"20250630","31023600",이매1동
127.122058418989,37.3989358435275,"20250630","31023610",이매2동
127.12593931535,37.413070649118,"20250630","31023620",야탑1동
127.150843077845,37.4045849109537,"20250630","31023630",야탑3동
127.127441991289,37.4076818846126,"20250630","31023640",야탑2동
127.121229326354,37.34260181291,"20250630","31023670",구미동
127.058493436932,37.3818716860056,"20250630","31023680",운중동
127.095988791083,37.3629782986103,"20250630","31023710",금곡동
127.093273590205,37.3524895175645,"20250630","31023720",구미1동
127.108318740317,37.4019590470952,"20250630","31023740",삼평동
127.092649619305,37.3878539894131,"20250630","31023750",판교동
127.109912617218,37.3897131052923,"20250630","31023760",백현동
127.106761070884,37.3713401837806,"20250630","31023770",정자1동
127.111660921144,37.3667307077111,"20250630","31023780",정자동
127.037036056709,37.7360505516729,"20250630","31030520",의정부2동
127.037140367182,37.706216280894,"20250630","31030550",호원1동
127.063251552531,37.7073080249167,"20250630","31030560",장암동
127.064326451793,37.7312693648902,"20250630","31030570",신곡1동
127.068015500161,37.7454720844804,"20250630","31030580",신곡2동
127.080878042832,37.7308014320157,"20250630","31030591",송산1동
127.086236792356,37.7632164000047,"20250630","31030600",자금동
127.030677452199,37.7614925175775,"20250630","31030640",녹양동
127.030490051752,37.7206083443625,"20250630","31030650",호원2동
127.018214422911,37.7388488722325,"20250630","31030670",흥선동
127.022962689847,37.7540104057355,"20250630","31030680",가능동
127.049011030878,37.7412173681959,"20250630","31030690",의정부1동
127.093891228366,37.7399199059865,"20250630","31030700",송산2동
127.116299221247,37.7539887330572,"20250630","31030710",송산3동
127.104110204348,37.7238858556147,"20250630","31030721",고산동
126.925126075558,37.3993673362247,"20250630","31041510",안양1동
126.919507997079,37.40891151967,"20250630","31041520",안양2동
126.91276740348,37.3980399439695,"20250630","31041530",안양3동
126.91868934324,37.3968183129751,"20250630","31041540",안양4동
126.92219428607,37.3922524438713,"20250630","31041550",안양5동
126.92519210493,37.3861095881871,"20250630","31041560",안양6동
126.936658039813,37.3893816942756,"20250630","31041570",안양7동
126.930073625958,37.380184249904,"20250630","31041580",안양8동
126.90416265266,37.3780438283337,"20250630","31041590",안양9동
126.926740308359,37.4286915957006,"20250630","31041600",석수1동
126.901376285237,37.4192832968651,"20250630","31041610",석수2동
126.909253869899,37.4045427421632,"20250630","31041630",박달1동
126.888573993713,37.3961294935709,"20250630","31041640",박달2동
126.899253199189,37.4078830615807,"20250630","31041651",충훈동
126.934560547633,37.4072272820258,"20250630","31042510",비산1동
126.939159510435,37.3968949874869,"20250630","31042520",비산2동
126.951563806239,37.4199910136633,"20250630","31042530",비산3동
126.945945430773,37.393992602144,"20250630","31042540",부흥동
126.950562067679,37.396085784006,"20250630","31042550",달안동
126.957939581026,37.3966598228547,"20250630","31042580",부림동
126.975652109396,37.3925232174814,"20250630","31042590",평촌동
126.963797160181,37.3902430244242,"20250630","31042600",평안동
126.96722179509,37.3844049120449,"20250630","31042610",귀인동
126.954179597183,37.372823496701,"20250630","31042620",호계1동
126.946857248978,37.3826476458932,"20250630","31042630",호계2동
126.9602963699,37.3672081106044,"20250630","31042640",호계3동
126.953863963429,37.3876748662254,"20250630","31042650",범계동
126.95715777532,37.3811497084397,"20250630","31042660",신촌동
126.96486834579,37.3778971542327,"20250630","31042670",갈산동
126.964177425851,37.4109498428535,"20250630","31042681",관양동
126.971404598372,37.3992031781335,"20250630","31042691",인덕원동
126.781933814491,37.4923934744349,"20250630","31051511",심곡1동
126.784177509211,37.4866494412482,"20250630","31051521",심곡2동
126.774742123543,37.4896137111548,"20250630","31051531",심곡3동
126.790520522938,37.4907619681803,"20250630","31051541",원미2동
126.795146996266,37.4859842439119,"20250630","31051551",소사동
126.793130418017,37.4962611081943,"20250630","31051561",원미1동
126.810388472721,37.4923290283759,"20250630","31051571",역곡1동
126.803818053232,37.4876418294563,"20250630","31051581",역곡2동
126.802417640974,37.5024742595837,"20250630","31051591",춘의동
126.785434783141,37.5133842683806,"20250630","31051601",도당동
126.767080223777,37.4911500817448,"20250630","31051611",중동
126.759192495515,37.4914442403888,"20250630","31051621",상동
126.769201759007,37.5133825070889,"20250630","31051631",약대동
126.766077313281,37.5007827421956,"20250630","31051641",중1동
126.776283220744,37.4969028791383,"20250630","31051651",중2동
126.772714702823,37.5069072164073,"20250630","31051661",중3동
126.763234539796,37.5088611722591,"20250630","31051671",중4동
126.751254020947,37.4929639676757,"20250630","31051681",상1동
126.748519902944,37.499126628903,"20250630","31051691",상2동
126.752021225876,37.5107573912808,"20250630","31051701",상3동
126.775847100927,37.4781830758329,"20250630","31052511",심곡본1동
126.782842281656,37.4784965210731,"20250630","31052521",심곡본동
126.756648048453,37.4838565364129,"20250630","31052531",송내1동
126.768506509786,37.4798179377512,"20250630","31052541",송내2동
126.792717067179,37.4744953149915,"20250630","31052551",소사본동
126.800401569852,37.4714465346089,"20250630","31052561",소사본1동
126.808963287234,37.4689259224493,"20250630","31052571",범박동
126.822289608804,37.4676594893782,"20250630","31052581",옥길동
126.806614919886,37.4787657500622,"20250630","31052591",괴안동
126.815863893444,37.4826570226455,"20250630","31052601",역곡3동
126.808179114501,37.5136595712977,"20250630","31053511",성곡동
126.820869671511,37.5291736921959,"20250630","31053521",고강본동
126.810636120694,37.5344124452621,"20250630","31053531",고강1동
126.804054887708,37.5303770958727,"20250630","31053541",원종1동
126.800734578991,37.5254169208583,"20250630","31053551",원종2동
126.779314601036,37.5365106450056,"20250630","31053561",오정동
126.771779094677,37.5230092432056,"20250630","31053571",신흥동
126.861449911758,37.4870578656076,"20250630","31060510",광명1동
126.857737425793,37.4827701068853,"20250630","31060520",광명2동
126.856327954902,37.4800931559996,"20250630","31060530",광명3동
126.854772907601,37.477689043511,"20250630","31060540",광명4동
126.848602964115,37.4771709922427,"20250630","31060550",광명5동
126.838867450968,37.4672584190344,"20250630","31060560",광명6동
126.851230539106,37.4654886907596,"20250630","31060570",광명7동
126.869553364615,37.4889118014094,"20250630","31060580",철산1동
126.866769173444,37.4833803598835,"20250630","31060590",철산2동
126.870986398705,37.4754205174715,"20250630","31060600",철산3동
126.863296312709,37.4725751241559,"20250630","31060610",철산4동
126.866473103772,37.4574827454877,"20250630","31060620",하안1동
126.874281725577,37.4647106529108,"20250630","31060630",하안2동
126.882324115751,37.4598674304841,"20250630","31060640",하안3동
126.8796360574,37.467027528663,"20250630","31060650",하안4동
126.887319544225,37.4447242709203,"20250630","31060660",소하1동
126.855106301173,37.4295655954239,"20250630","31060680",학온동
126.876611900239,37.4350148753944,"20250630","31060690",소하2동
126.882617298183,37.4199305338785,"20250630","31060700",일직동
127.036887356877,36.9613464992442,"20250630","31070110",팽성읍
126.936634963095,36.9908911837149,"20250630","31070120",안중읍
126.857852180141,36.9874490752757,"20250630","31070130",포승읍
126.933995346849,37.0448400615557,"20250630","31070140",청북읍
127.088081849987,37.1080672701474,"20250630","31070310",진위면
127.021479697204,37.1021953260626,"20250630","31070320",서탄면
127.023440766539,37.035072510549,"20250630","31070330",고덕면
126.991264883286,37.0034268128065,"20250630","31070340",오성면
126.932127678787,36.9446637327599,"20250630","31070370",현덕면
127.06498707532,37.0537163156909,"20250630","31070510",중앙동
127.055474236789,37.0698188162708,"20250630","31070520",서정동
127.095251200128,37.0463042511441,"20250630","31070530",송탄동
127.059360842259,37.0763553517284,"20250630","31070550",지산동
127.077797235893,37.0791008264894,"20250630","31070560",송북동
127.050290939841,37.0877492351175,"20250630","31070570",신장1동
127.050329421105,37.0768120186388,"20250630","31070580",신장2동
127.106292640359,36.9816913478029,"20250630","31070590",신평동
127.071679980812,36.9925193013029,"20250630","31070600",원평동
127.08714105311,36.999946263856,"20250630","31070610",통복동
127.073080181467,37.0130305011842,"20250630","31070640",세교동
127.119835381277,36.9906315328256,"20250630","31070650",비전2동
127.140299901609,37.0009813272068,"20250630","31070660",용이동
127.123760962696,37.0150078450456,"20250630","31070670",비전1동
127.098308543639,37.0169244421093,"20250630","31070680",동삭동
127.039310486351,37.0439212719379,"20250630","31070690",고덕동
127.066853228761,37.909070904597,"20250630","31080510",생연1동
127.051290491087,37.9000822374385,"20250630","31080520",생연2동
127.054495995683,37.9083632321058,"20250630","31080530",중앙동
127.088546261555,37.9252768738793,"20250630","31080550",보산동
127.108597720896,37.8925384344185,"20250630","31080560",불현동
127.056222717446,37.9477792641236,"20250630","31080580",소요동
127.031502428662,37.909123607858,"20250630","31080600",상패동
127.065046696076,37.8807214469212,"20250630","31080610",송내동
126.870150278265,37.3132010667038,"20250630","31091510",일동
126.871823573677,37.2860287011308,"20250630","31091540",본오1동
126.870008369519,37.2946914555899,"20250630","31091550",본오2동
126.867450730855,37.3001913496566,"20250630","31091560",본오3동
126.869091267872,37.3346956581739,"20250630","31091570",부곡동
126.847670620079,37.3448075278545,"20250630","31091580",월피동
126.848901775042,37.3219375527025,"20250630","31091620",성포동
126.906298160253,37.3030899640708,"20250630","31091710",반월동
126.876684084132,37.3584933174978,"20250630","31091730",안산동
126.855323963965,37.309833917787,"20250630","31091740",이동
126.850823017384,37.2992187685067,"20250630","31091760",사동
126.844973287155,37.2842577304809,"20250630","31091770",사이동
126.831829090262,37.2928575802224,"20250630","31091780",해양동
126.826852628735,37.3397827422263,"20250630","31092590",와동
126.774342393504,37.309951515524,"20250630","31092660",초지동
126.807890486134,37.3322708311229,"20250630","31092680",선부1동
126.801041301659,37.3452263010128,"20250630","31092690",선부2동
126.822722936886,37.352289221791,"20250630","31092700",선부3동
126.588739872156,37.2384844419006,"20250630","31092720",대부동
126.831193721011,37.310369090846,"20250630","31092730",호수동
126.82574039264,37.3248891048821,"20250630","31092740",고잔동
126.836000280719,37.3254124404266,"20250630","31092750",중앙동
126.792807815426,37.3312842538889,"20250630","31092760",원곡동
126.769216841869,37.3312492578643,"20250630","31092770",신길동
126.799352428906,37.32412866273,"20250630","31092780",백운동
126.827825598696,37.6617148017127,"20250630","31101510",주교동
126.860907823052,37.6329027692749,"20250630","31101511",흥도동
126.906863645351,37.6632633793567,"20250630","31101512",삼송1동
126.874622591974,37.6519005887973,"20250630","31101513",삼송2동
126.839600780896,37.6252557419324,"20250630","31101514",행신3동
126.848287369893,37.6196276132881,"20250630","31101515",행신4동
126.864706698001,37.6714646233355,"20250630","31101520",원신동
126.845334870599,37.6596806520638,"20250630","31101540",성사1동
126.840436020195,37.6500679781436,"20250630","31101550",성사2동
126.958748231968,37.6629087733486,"20250630","31101560",효자동
126.89220932308,37.6311259325948,"20250630","31101580",창릉동
126.904211437429,37.7092884440012,"20250630","31101590",고양동
126.863728456408,37.709684518197,"20250630","31101600",관산동
126.799834783702,37.6277079315792,"20250630","31101610",능곡동
126.833025898522,37.64193720667,"20250630","31101620",화정1동
126.836564008404,37.63214775093,"20250630","31101630",화정2동
126.819794413045,37.6075009806328,"20250630","31101640",행주동
