기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
2,4111156600,1847690,경기도 수원시 장안구 율천동,40262,471971.53,2024,2
3,4111156600,1179942,경기도 수원시 장안구 율천동,40329,614724.5,2024,2
4,4111156600,2135551,경기도 수원시 장안구 율천동,40197,552811.1,2024,2
5,4111156600,1471504,경기도 수원시 장안구 율천동,40131,552327.44,2024,2
6,4111156600,1980290,경기도 수원시 장안구 율천동,40057,509329.88,2024,2
7,4111156600,2041052,경기도 수원시 장안구 율천동,40019,490253.38,2024,2
8,4111156600,1707660,경기도 수원시 장안구 율천동,40018,485605.28,2024,2
9,4111156600,1767088,경기도 수원시 장안구 율천동,40038,571141.4,2024,2
10,4111156600,1630997,경기도 수원시 장안구 율천동,39931,542466.8,2024,2
11,4111156600,1867251,경기도 수원시 장안구 율천동,39888,515726.25,2024,2
12,4111156600,1906846,경기도 수원시 장안구 율천동,39864,514471.8,2024,2
1,4111156600,2119782,경기도 수원시 장안구 율천동,39702,510537.3,2025,2
2,4111156600,2360098,경기도 수원시 장안구 율천동,39812,495038.2,2025,2
3,4111156600,1544115,경기도 수원시 장안구 율천동,39847,621300.75,2025,2
4,4111156600,1161495,경기도 수원시 장안구 율천동,39738,535143.75,2025,2
5,4111156600,1162030,경기도 수원시 장안구 율천동,39727,520269.78,2025,2
6,4111156600,1366542,경기도 수원시 장안구 율천동,39651,496883.78,2025,2
7,4111157100,84290647,경기도 수원시 장안구 정자1동,27895,283397.62,2023,2
8,4111157100,14896943,경기도 수원시 장안구 정자1동,27812,278846.78,2023,2
9,4111157100,237906,경기도 수원시 장안구 정자1동,27754,279775.44,2023,2
10,4111157100,373468,경기도 수원시 장안구 정자1동,27668,305058.1,2023,2
11,4111157100,312306,경기도 수원시 장안구 정자1동,27577,294267.75,2023,2
12,4111157100,384740,경기도 수원시 장안구 정자1동,27561,299993.44,2023,2
1,4111157100,345728,경기도 수원시 장안구 정자1동,27530,298206.1,2024,2
2,4111157100,211620,경기도 수원시 장안구 정자1동,27516,257224.52,2024,2
3,4111157100,139456,경기도 수원시 장안구 정자1동,27620,283947.66,2024,2
4,4111157100,280970,경기도 수원시 장안구 정자1동,30345,339032.66,2024,2
5,4111157100,205760,경기도 수원시 장안구 정자1동,32164,341624.44,2024,2
6,4111157100,205220,경기도 수원시 장안구 정자1동,32692,362086.53,2024,2
7,4111157100,189018,경기도 수원시 장안구 정자1동,32983,362148.4,2024,2
8,4111157100,139316,경기도 수원시 장안구 정자1동,33277,379243.3,2024,2
9,4111157100,212338,경기도 수원시 장안구 정자1동,33382,412522.56,2024,2
10,4111157100,154890,경기도 수원시 장안구 정자1동,33466,413647.66,2024,2
11,4111157100,201440,경기도 수원시 장안구 정자1동,33427,424518.56,2024,2
12,4111157100,239954,경기도 수원시 장안구 정자1동,33481,425891.47,2024,2
1,4111157100,189474,경기도 수원시 장안구 정자1동,33517,454565.4,2025,2
2,4111157100,289670,경기도 수원시 장안구 정자1동,33545,410626.38,2025,2
3,4111157100,197070,경기도 수원시 장안구 정자1동,33516,427531.4,2025,2
4,4111157100,125740,경기도 수원시 장안구 정자1동,33493,413347.88,2025,2
5,4111157100,128120,경기도 수원시 장안구 정자1동,33460,411251.5,2025,2
6,4111157100,142336,경기도 수원시 장안구 정자1동,33446,409920.94,2025,2
7,4111157200,87466075,경기도 수원시 장안구 정자2동,36209,1102608.0,2023,2
8,4111157200,9481338,경기도 수원시 장안구 정자2동,36081,1094405.8,2023,2
9,4111157200,372222,경기도 수원시 장안구 정자2동,36064,1084687.1,2023,2
10,4111157200,336518,경기도 수원시 장안구 정자2동,36747,1257053.9,2023,2
11,4111157200,343608,경기도 수원시 장안구 정자2동,37211,1153873.4,2023,2
12,4111157200,314764,경기도 수원시 장안구 정자2동,37725,1191879.8,2023,2
1,4111157200,348874,경기도 수원시 장안구 정자2동,38034,1220887.8,2024,2
2,4111157200,378502,경기도 수원시 장안구 정자2동,38361,1176296.1,2024,2
3,4111157200,231558,경기도 수원시 장안구 정자2동,38477,1258167.2,2024,2
4,4111157200,353230,경기도 수원시 장안구 정자2동,38403,1208464.6,2024,2
5,4111157200,297846,경기도 수원시 장안구 정자2동,38402,1232758.8,2024,2
6,4111157200,412938,경기도 수원시 장안구 정자2동,38389,1189128.2,2024,2
7,4111157200,387794,경기도 수원시 장안구 정자2동,38457,1202402.0,2024,2
8,4111157200,343894,경기도 수원시 장안구 정자2동,38477,1310900.2,2024,2
9,4111157200,376444,경기도 수원시 장안구 정자2동,38503,1696663.4,2024,2
10,4111157200,250568,경기도 수원시 장안구 정자2동,38534,1542272.6,2024,2
11,4111157200,265558,경기도 수원시 장안구 정자2동,38549,1476222.6,2024,2
12,4111157200,293610,경기도 수원시 장안구 정자2동,38552,1571226.2,2024,2
1,4111157200,235748,경기도 수원시 장안구 정자2동,38513,1659030.2,2025,2
2,4111157200,410751,경기도 수원시 장안구 정자2동,38442,1417313.1,2025,2
3,4111157200,350730,경기도 수원시 장안구 정자2동,38446,1526050.8,2025,2
4,4111157200,326598,경기도 수원시 장안구 정자2동,38359,1400493.1,2025,2
